replication,station,failure_time_h,repair_duration_h
0,secado,23.771595475628725,1.6084341234386765
0,aserradero,43.15182927040931,2.789330919775405
0,secado,57.866733826325415,4.559914202133212
0,secado,98.63659794475444,4.663272878571607
0,aserradero,128.99593402411782,8.511206333095751
0,aserradero,139.58868079601228,8.173170730678805
0,secado,320.5959805663905,3.5207748910952392
0,secado,335.12542908011795,13.130240514697586
0,aserradero,419.53876081571326,1.6016322213612448
0,secado,593.7498719122248,2.8697518987384294
0,secado,769.0648943982804,0.11460690495780078
0,secado,783.7668941635643,9.35890826775198
0,secado,820.2573557190623,37.92027555871948
0,secado,900.1216523080539,19.071417253187327
0,aserradero,1018.5082485326803,6.982690183197769
0,impregnado,1138.053621079253,1.6998920459682128
0,secado,1274.4874774611426,4.493191608473038
0,secado,1496.198521155281,2.051665006958154
0,secado,1532.7578605780554,2.1061429684026485
0,secado,1669.966191153263,19.01540386536607
0,secado,1842.1212565179508,4.044994269671431
0,secado,2042.4419703960941,16.808889844725318
0,secado,2108.0636477412454,2.8368251120615655
0,aserradero,2121.7085229407294,5.10291767813132
0,aserradero,2295.2562448894882,3.683798144007221
0,secado,2374.890363759155,4.523240783825523
0,bano,2542.3088832477006,0.49721612844639157
0,aserradero,2611.203460862207,2.0246460029841207
0,drymill,3037.141495711734,2.980568795117233
0,secado,3084.393315467366,25.731383328160025
0,aserradero,3132.7903585281147,0.7578708180366036
0,secado,3157.348543888594,21.118209640018392
0,secado,3202.1314834723808,18.182294270430347
0,secado,3238.9526993105414,4.779377558844333
0,drymill,3285.952224101055,12.137909775407993
0,secado,3355.949511779846,8.938932186470849
0,aserradero,3476.3676784504223,4.289154456879855
0,aserradero,3547.4148469683814,8.350431420177125
0,aserradero,3783.86943067201,0.13903402153267322
0,drymill,4271.267184516373,4.394783932354057
0,aserradero,4318.830217040032,1.5962737868860963
0,secado,4554.566774806707,17.271801729807482
0,secado,4639.657641033288,4.618253332498408
0,drymill,4976.448979399288,5.724622615344088
0,secado,4980.6899108793405,11.60004684385559
0,secado,5176.145211612032,19.007668598065216
0,secado,5214.646692774814,14.7491311207323
0,secado,5250.1212026804205,28.285706076871072
0,secado,5332.731470536163,20.303731692167347
0,secado,5367.837511890699,1.9486127490661893
0,aserradero,5417.035541246507,0.8743277531502177
0,secado,5438.29101000027,13.13543396741695
0,secado,5531.544328906538,11.632160398794827
0,aserradero,5626.310323474872,14.62154658400661
0,secado,5648.730461415913,20.627132070438453
0,secado,5717.685254936865,2.1936530612710365
0,secado,5820.585406988801,7.371024358785583
0,secado,5882.606511293042,14.301555875738893
0,secado,5904.884139773082,0.4499048610744804
0,secado,6053.340293027517,24.11975990723552
0,secado,6185.122053051247,19.212246344214254
0,secado,6264.460911255728,22.134416642521074
0,secado,6318.411155416929,11.236080237352626
0,aserradero,6347.065461676314,2.222373303249951
0,aserradero,6450.701871463372,2.6824693086362177
0,secado,6491.074321719386,6.479333552723114
0,aserradero,6753.361994311397,1.3525276248595322
0,drymill,7029.575715965279,1.302878456329859
0,secado,7151.626621745637,24.445121698465428
0,drymill,7310.282575178474,8.233542287454226
0,secado,7323.6205738129165,2.820817152765928
0,aserradero,7593.026931769611,4.96226015115225
0,secado,7709.590717766681,7.53117557887654
0,secado,7741.427191422049,0.6140222313810271
0,secado,7776.716487800497,9.113293966392963
