replication,batch_id,station,product,volume_in_m3,volume_out_m3,scrap_m3,enter_buffer_time_h,start_process_time_h,end_process_time_h,setup_time_h,birth_time_h,source_aserradero_batch_id
0,1,aserradero,P3,30.537,15.212,15.325,9.447290788717929,9.447290788717929,10.879254575231847,0.0,10.879254575231847,1
0,2,aserradero,P2,29.267,14.53,14.737,13.52160510249714,13.9908512247959,15.484781670592309,0.49,15.484781670592309,2
0,3,aserradero,P2,23.618,11.625,11.993,13.795234657257332,15.484781670592309,16.67559919696572,0.0,16.67559919696572,3
0,1,secado,P3,14.506,13.79,0.715,10.879254575231847,10.879254575231847,17.088130648302652,0.0,10.879254575231847,1
0,1,drymill,P3,13.99,13.357,0.633,10.879254575231847,17.088130648302652,18.051589602041865,0.0,10.879254575231847,1
0,1,impregnado,P3,12.692,12.692,0.0,10.879254575231847,18.051589602041865,19.32720489428921,0.0,10.879254575231847,1
0,4,aserradero,P1,21.41,10.648,10.762,18.023054764772915,18.513054764772914,19.626816326308273,0.49,19.626816326308273,4
0,1,bano,P1,10.785,10.704,0.081,19.626816326308273,19.626816326308273,20.065254592229454,0.0,19.626816326308273,4
0,5,aserradero,P1,29.242,14.441,14.801,18.730832605033754,19.626816326308273,21.05841977559653,0.0,21.05841977559653,5
0,2,bano,P1,14.134,13.921,0.213,21.05841977559653,21.05841977559653,21.635652986807397,0.0,21.05841977559653,5
0,6,aserradero,P3,28.116,13.74,14.376,20.013795986208333,21.54841977559653,23.08205475994108,0.49,23.08205475994108,6
0,2,secado,P2,25.122,24.608,0.514,16.0055728559741,18.498130648302652,30.490607501985423,1.41,16.0055728559741,2
0,7,aserradero,P1,31.506,15.741,15.765,22.29861609273434,31.49,33.13334200899083,0.49,33.13334200899083,7
0,3,bano,P1,14.638,14.289,0.35,33.13334200899083,33.13334200899083,33.729289635571455,0.0,33.13334200899083,7
0,2,drymill,P2,27.009,25.73,1.278,16.0055728559741,31.59,33.86080327593482,0.59,16.0055728559741,2
0,8,aserradero,P3,28.943,14.679,14.264,31.290434095351202,33.62334200899083,35.12157344821179,0.49,35.12157344821179,8
