replication,day,station,m3_in,m3_out,batches_processed
0,47,aserradero,300.581,150.867,10
0,47,bano,30.07,29.969,2
0,47,drymill,77.233,74.217,2
0,47,impregnado,74.905,73.124,2
0,48,secado,83.352,81.028,1
0,49,aserradero,226.172,114.042,8
0,49,bano,14.83,14.83,1
0,49,drymill,168.44,160.033,5
0,49,impregnado,111.878,109.78999999999999,3
0,49,secado,103.256,102.286,2
0,50,aserradero,160.271,79.242,8
0,50,bano,27.563000000000002,27.149,2
0,50,drymill,44.898,42.679,4
0,50,impregnado,98.928,96.99799999999999,6
0,50,secado,44.848,43.744,4
0,51,aserradero,121.877,60.562,5
0,51,secado,80.163,77.089,1
0,52,aserradero,291.786,146.138,10
0,52,bano,41.893,40.933,3
0,52,drymill,80.405,76.406,2
0,53,aserradero,203.27,101.998,7
0,53,bano,55.651,55.252,4
0,53,drymill,75.102,71.941,2
0,53,secado,76.371,72.91,1
0,54,aserradero,76.384,38.263999999999996,3
0,54,bano,27.238999999999997,27.213,2
0,54,drymill,39.196,36.351,1
0,54,secado,75.317,72.857,1
0,55,aserradero,30.597,15.203,1
0,55,drymill,36.962,35.111,1
0,55,secado,82.78,82.112,1
0,56,aserradero,172.927,86.69800000000001,7
0,56,bano,16.058,15.978,1
0,56,drymill,78.16499999999999,75.274,2
0,57,aserradero,183.576,90.795,8
0,57,bano,43.025,42.187,3
0,57,drymill,77.65,72.64,2
0,57,secado,79.527,78.163,1
0,58,aserradero,268.254,133.84199999999998,10
0,58,bano,32.916,32.691,3
0,58,drymill,79.643,74.094,2
0,58,secado,78.39,75.384,1
0,59,aserradero,266.27,133.444,10
0,59,bano,58.261,57.606,5
0,59,drymill,39.308,37.701,1
0,59,secado,81.371,80.415,1
0,60,aserradero,187.497,93.641,7
0,60,drymill,36.731,34.84,1
0,61,aserradero,268.599,135.129,9
0,61,bano,29.711,29.354,2
0,61,drymill,80.783,76.515,2
0,61,secado,82.508,79.058,1
0,62,secado,78.831,77.696,1
0,63,aserradero,271.737,135.179,9
0,63,bano,89.174,88.511,6
0,63,drymill,160.13,152.444,4
0,63,secado,82.502,79.847,1
0,64,aserradero,302.301,150.248,10
0,64,bano,44.802,44.238,3
0,64,drymill,35.406,34.06,1
0,64,secado,84.566,80.85,2
0,65,aserradero,269.97,133.665,9
0,65,bano,88.841,87.599,6
0,65,drymill,96.2,91.593,4
0,65,secado,60.771,58.999,1
0,66,aserradero,260.662,130.252,9
0,66,bano,68.666,67.68299999999999,5
0,66,drymill,13.629,13.006,1
0,66,secado,14.955,14.663,1
0,67,aserradero,157.176,78.635,6
0,67,bano,14.428,14.412,1
0,67,drymill,81.42099999999999,77.247,2
0,67,impregnado,73.672,73.406,2
0,67,secado,74.733,71.746,1
0,68,aserradero,187.078,92.97399999999999,8
0,68,drymill,73.0,69.49000000000001,2
0,68,impregnado,37.211,36.31,1
0,68,secado,83.985,82.405,1
0,69,impregnado,34.844,34.065,1
0,70,aserradero,246.393,123.539,8
0,70,bano,14.189,14.189,1
0,70,drymill,77.976,75.834,2
0,70,impregnado,35.348,34.918,1
0,70,secado,79.008,75.3,1
0,71,aserradero,203.58599999999998,101.151,8
0,71,bano,42.509,42.379,3
0,71,drymill,42.422,39.913,1
0,71,impregnado,35.071,34.511,1
0,71,secado,81.342,80.856,1
0,72,aserradero,138.28199999999998,69.293,5
0,72,bano,27.282,26.877,2
0,72,drymill,35.173,33.283,1
0,72,impregnado,76.16300000000001,75.10900000000001,2
0,73,aserradero,278.705,139.623,10
0,73,bano,35.676,35.042,3
0,73,drymill,77.618,73.631,2
0,73,impregnado,77.179,76.119,2
0,73,secado,78.191,74.405,1
0,74,aserradero,206.551,103.212,8
0,74,bano,36.874,36.339,3
0,74,drymill,76.749,72.299,2
0,74,impregnado,77.742,76.04599999999999,2
0,74,secado,83.683,79.279,1
0,75,aserradero,199.945,100.351,8
0,75,bano,52.804,52.613,4
0,75,drymill,77.531,74.45,2
0,75,impregnado,36.057,35.271,1
0,75,secado,84.58,82.593,1
0,76,impregnado,36.972,36.972,1
0,76,secado,58.054,56.980000000000004,2
0,77,aserradero,254.034,127.035,9
0,77,bano,30.284,29.995,2
0,77,drymill,55.336,53.109,2
0,77,impregnado,56.152,55.391,2
0,77,secado,74.484,71.626,1
0,78,aserradero,131.747,66.527,7
0,78,bano,15.977,15.977,1
0,78,drymill,73.68299999999999,70.78399999999999,2
0,79,aserradero,159.615,80.063,6
0,79,bano,30.911,30.784,2
0,79,drymill,75.96600000000001,71.985,2
0,79,secado,81.818,78.488,1
0,80,aserradero,238.00900000000001,119.11,9
0,80,bano,30.209,29.704,2
0,80,drymill,75.732,71.143,2
0,80,secado,80.938,78.06,1
0,81,aserradero,202.635,101.115,7
0,81,bano,14.197,13.945,1
0,81,drymill,78.39,74.018,2
0,81,secado,81.306,77.557,1
0,82,aserradero,178.033,89.212,6
0,82,bano,43.241,42.846,3
0,82,secado,82.597,80.035,1
0,83,drymill,42.963,39.817,1
0,84,aserradero,268.553,133.557,9
0,84,bano,75.953,75.142,5
0,84,drymill,112.836,106.49199999999999,3
0,84,secado,83.58,79.927,1
0,85,aserradero,240.916,119.43,9
0,85,bano,61.805,61.254000000000005,5
0,86,aserradero,239.07899999999998,120.33500000000001,10
0,86,bano,52.229,51.671,4
0,86,drymill,80.61,75.40700000000001,2
0,86,secado,77.949,75.825,1
0,87,aserradero,125.851,62.476,6
0,87,bano,28.15,27.41,3
0,87,drymill,77.06700000000001,73.554,2
0,87,secado,82.103,79.7,1
0,88,aserradero,149.825,75.59700000000001,5
0,88,bano,31.910999999999998,31.637,2
0,88,secado,82.891,82.17,1
0,89,aserradero,296.897,148.996,10
0,89,bano,106.797,105.877,7
0,89,drymill,75.65299999999999,70.533,2
0,90,aserradero,31.733,15.492,1
0,90,secado,120.74600000000001,115.646,2
0,91,aserradero,245.647,122.407,9
0,91,bano,48.926,48.335,4
0,91,drymill,109.904,103.98400000000001,3
0,92,aserradero,217.076,107.958,11
0,92,bano,15.197,15.197,1
0,92,drymill,75.436,70.544,2
0,92,impregnado,74.789,73.281,2
0,92,secado,83.201,79.071,1
0,93,aserradero,232.611,115.432,8
0,93,bano,14.014,14.014,1
0,93,drymill,75.23400000000001,71.398,2
0,93,impregnado,73.951,73.631,2
0,93,secado,78.798,74.947,1
0,94,aserradero,294.504,146.498,10
0,94,bano,46.597,46.488,3
0,94,secado,84.263,80.676,1
0,95,aserradero,202.855,102.358,7
0,95,bano,30.119,29.872,2
0,95,drymill,81.722,78.011,2
0,95,impregnado,75.64699999999999,73.987,2
0,96,aserradero,201.135,99.935,8
0,96,drymill,75.67,72.561,2
0,96,impregnado,71.412,70.47900000000001,2
0,96,secado,78.204,75.143,1
0,97,aserradero,30.644,15.157,1
0,97,secado,74.995,72.28,1
0,98,aserradero,167.058,83.92699999999999,7
0,98,bano,29.418,29.418,2
0,98,drymill,76.75200000000001,72.804,2
0,98,impregnado,70.82900000000001,69.886,2
0,99,aserradero,215.224,107.954,9
0,99,bano,16.577,16.35,2
0,99,drymill,72.831,68.874,2
0,99,impregnado,72.951,71.536,2
0,99,secado,84.683,84.062,1
0,100,aserradero,213.053,107.587,9
0,100,bano,30.79,30.453,3
0,100,drymill,77.061,72.507,2
0,100,impregnado,70.736,68.372,2
0,100,secado,71.559,70.497,1
0,101,aserradero,234.735,118.196,9
0,101,bano,53.395,52.399,4
0,101,drymill,58.682,56.193,2
0,101,impregnado,56.083,56.013000000000005,2
0,101,secado,64.37,61.175,1
0,102,aserradero,242.132,119.57,10
0,102,bano,44.222,43.935,4
0,102,drymill,40.452,38.497,1
0,102,secado,75.779,72.766,1
0,103,aserradero,210.91,105.691,7
0,103,bano,14.012,13.933,1
0,103,drymill,36.891,34.822,1
0,104,secado,85.739,82.697,1
0,105,aserradero,219.068,108.956,8
0,105,bano,44.422,44.422,3
0,105,drymill,158.127,149.322,4
0,105,secado,83.486,79.887,1
0,106,aserradero,220.368,110.054,8
0,106,bano,8.039,8.039,1
0,106,drymill,75.793,71.41900000000001,2
0,106,secado,75.584,73.3,1
0,107,aserradero,161.476,80.795,7
0,107,bano,61.877,61.361,4
0,107,drymill,39.005,36.613,1
0,107,secado,83.685,82.493,1
0,108,aserradero,165.996,82.733,7
0,108,bano,27.706000000000003,26.942999999999998,2
0,108,drymill,34.949,32.707,1
0,109,aserradero,218.611,109.615,8
0,109,bano,14.277,13.931,1
0,109,drymill,81.564,78.357,2
0,109,secado,74.905,73.531,1
0,110,aserradero,255.641,127.326,9
0,110,bano,45.946,45.002,3
0,110,drymill,77.485,74.678,2
0,110,secado,76.287,75.774,1
0,111,secado,82.24,78.299,1
0,112,aserradero,175.02100000000002,88.164,8
0,112,bano,28.43,27.823999999999998,2
0,112,drymill,154.394,145.708,4
0,112,secado,85.279,82.165,1
0,113,aserradero,175.593,88.512,8
0,113,bano,30.931,30.665,3
0,113,secado,81.286,78.496,1
0,114,aserradero,196.158,97.52,7
0,114,bano,15.682,15.521,1
0,114,drymill,76.61699999999999,72.559,2
0,115,aserradero,215.413,107.92699999999999,10
0,115,bano,14.771,14.66,1
0,115,drymill,76.975,72.666,2
0,115,secado,81.325,77.223,1
0,116,aserradero,166.54,83.074,7
0,116,bano,15.673,15.38,2
0,116,drymill,74.645,70.386,2
0,116,secado,80.454,78.642,1
0,117,aserradero,316.692,156.909,11
0,117,bano,29.652,29.031,2
0,117,drymill,79.68,76.55,2
0,117,secado,81.741,79.831,1
0,118,secado,74.615,70.819,1
0,119,aserradero,257.755,129.04,11
0,119,bano,66.609,66.009,5
0,119,drymill,77.03399999999999,74.702,2
0,120,aserradero,212.893,106.703,8
0,120,bano,30.07,30.039,2
0,120,drymill,76.366,73.179,2
0,120,secado,81.222,78.253,1
0,121,aserradero,198.918,99.547,8
0,121,bano,35.086,34.598,3
0,121,drymill,91.542,86.165,3
0,121,secado,91.706,89.613,2
0,122,aserradero,211.952,106.672,7
0,122,bano,15.469,15.469,1
0,122,drymill,60.007,57.156,2
0,122,secado,62.479,59.548,2
0,123,aserradero,202.24200000000002,101.66499999999999,7
0,123,bano,42.193,41.809,3
0,123,drymill,42.169,40.384,2
0,123,secado,43.708,42.232,2
0,124,aserradero,265.186,132.644,9
0,124,bano,73.66,72.937,5
0,124,drymill,39.665,37.76,1
0,124,secado,82.053,77.855,1
