replication,buffer,time_h,event_type,product,delta_m3,level_after_m3
0,log_yard,103.86217385818865,GET,LOG,-23.785304694359358,1.0658141036401503e-14
0,stock_seco,104.56391142919063,PUT,P2,77.6,77.6
0,stock_aserrado,104.56391142919063,GET,P2,-80.0,67.46263047270907
0,stock_seco,104.56391142919063,GET,P2,-40.0,37.599999999999994
0,stock_aserrado,104.94567994689402,PUT,P2,11.892652347179679,79.35528281988874
0,log_yard,106.24674099053968,PUT,LOG,33.867245851404036,33.86724585140405
0,log_yard,106.73674099053967,GET,LOG,-30.0,3.86724585140405
0,stock_seco,107.63594638343228,GET,P2,-37.599999999999994,0.0
0,stock_aserrado,108.26980670220541,PUT,P1,15.0,94.35528281988874
0,stock_aserrado,108.26980670220541,GET,P1,-15.0,79.35528281988874
0,log_yard,108.75980670220541,GET,LOG,-3.8672458514040358,1.4210854715202004e-14
0,stock_aserrado,108.98816897336155,PUT,P2,1.9336229257020179,81.28890574559077
0,log_yard,110.89514270436226,PUT,LOG,27.297170307917682,27.297170307917696
0,log_yard,110.89514270436226,GET,LOG,-27.297170307917682,1.4210854715202004e-14
0,log_yard,111.16252999486292,PUT,LOG,39.106926150327936,39.10692615032795
0,stock_aserrado,112.16458461729736,PUT,P2,13.648585153958841,94.9374908995496
0,log_yard,112.30892691882525,PUT,LOG,25.78273854852517,64.88966469885312
0,log_yard,112.65458461729736,GET,LOG,-30.0,34.889664698853124
0,log_yard,114.04078093236802,PUT,LOG,25.50608634027834,60.39575103913147
0,stock_aserrado,114.07667948292813,PUT,P3,15.0,109.9374908995496
0,log_yard,114.38158897813938,PUT,LOG,28.140872141009773,88.53662318014125
0,log_yard,114.56667948292812,GET,LOG,-30.0,58.53662318014125
0,log_yard,116.1046676332,PUT,LOG,33.30800927972683,91.84463245986808
0,stock_aserrado,116.24085119514561,PUT,P2,15.0,124.9374908995496
0,log_yard,116.24085119514561,GET,LOG,-30.0,61.84463245986808
0,log_yard,116.25171140175277,PUT,LOG,37.99741770022548,99.84205016009356
0,stock_aserrado,117.56023042358207,PUT,P2,15.0,139.9374908995496
0,log_yard,117.56023042358207,GET,LOG,-30.0,69.84205016009356
0,stock_aserrado,118.99326779434966,PUT,P2,15.0,154.9374908995496
0,log_yard,119.48326779434966,GET,LOG,-30.0,39.842050160093564
0,stock_aserrado,120.97253362496255,PUT,P1,15.0,169.9374908995496
0,stock_aserrado,127.0,GET,P1,-15.0,154.9374908995496
0,log_yard,127.0,GET,LOG,-30.0,9.842050160093564
0,stock_aserrado,128.4401576003503,PUT,P1,15.0,169.9374908995496
0,stock_aserrado,128.4401576003503,GET,P1,-15.0,154.9374908995496
0,log_yard,128.9301576003503,GET,LOG,-9.842050160093535,2.842170943040401e-14
0,log_yard,128.97713963752628,PUT,LOG,27.889644577558688,27.889644577558716
0,log_yard,131.89118975607965,PUT,LOG,29.425071747113577,57.31471632467229
0,log_yard,133.04376544819974,PUT,LOG,38.156759166803816,95.4714754914761
